Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
285;Voorst;24546;10-06-2020;23-06-2020;10;40,7;0;0;0;0
865;Vught;26554;10-06-2020;23-06-2020;1;3,8;0;0;0;0
1949;Waadhoeke;46079;10-06-2020;23-06-2020;1;2,2;0;0;0;0
866;Waalre;17454;10-06-2020;23-06-2020;1;5,7;0;0;0;0
867;Waalwijk;48620;10-06-2020;23-06-2020;12;24,7;0;0;3;6,2
627;Waddinxveen;29293;10-06-2020;23-06-2020;3;10,2;0;0;0;0
289;Wageningen;39673;10-06-2020;23-06-2020;0;0;0;0;0;0
629;Wassenaar;26214;10-06-2020;23-06-2020;1;3,8;0;0;0;0
852;Waterland;17422;10-06-2020;23-06-2020;2;11,5;0;0;0;0
988;Weert;50107;10-06-2020;23-06-2020;6;12;0;0;0;0
457;Weesp;19729;10-06-2020;23-06-2020;1;5,1;0;0;0;0
1960;West Betuwe;51198;10-06-2020;23-06-2020;4;7,8;0;0;1;2
668;West Maas en Waal;19320;10-06-2020;23-06-2020;0;0;0;0;0;0
1969;Westerkwartier;63375;10-06-2020;23-06-2020;1;1,6;0;0;0;0
1701;Westerveld;19460;10-06-2020;23-06-2020;1;5,1;0;0;0;0
293;Westervoort;14973;10-06-2020;23-06-2020;2;13,4;0;0;0;0
1950;Westerwolde;25796;10-06-2020;23-06-2020;0;0;0;0;0;0
1783;Westland;110357;10-06-2020;23-06-2020;8;7,2;0;0;0;0
98;Weststellingwerf;25916;10-06-2020;23-06-2020;1;3,9;0;0;0;0
614;Westvoorne;14728;10-06-2020;23-06-2020;0;0;0;0;0;0
189;Wierden;24440;10-06-2020;23-06-2020;0;0;0;0;0;0
